Id,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,Crisis,MSSubClass,OverallQual,OverallCond,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,X3SsnPorch,PoolArea,MoSold,YrSold,LotFrontage,LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,MiscVal,SalePrice,Reforma
1,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,,Attchd,RFn,TA,TA,Y,,,,WD,Normal,Si,60,7,5,1,0,2,1,3,1,8,0,2,0,0,2,2008,65.0,8450.0,2003.0,2003,196.0,706.0,0.0,150.0,856.0,856.0,854.0,0.0,1710.0,2003.0,548.0,0.0,61.0,0.0,0.0,0.0,208500,5
2,RL,Pave,,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,,,,WD,Normal,No,20,6,8,0,1,2,0,3,1,6,1,2,0,0,5,2007,80.0,9600.0,1976.0,1976,0.0,978.0,0.0,284.0,1262.0,1262.0,0.0,0.0,1262.0,1976.0,460.0,298.0,0.0,0.0,0.0,0.0,181500,31
3,RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,,,,WD,Normal,Si,60,7,5,1,0,2,1,3,1,6,1,2,0,0,9,2008,68.0,11250.0,2001.0,2002,162.0,486.0,0.0,434.0,920.0,920.0,866.0,0.0,1786.0,2001.0,608.0,0.0,42.0,0.0,0.0,0.0,223500,6
4,RL,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Shng,,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,,,,WD,Abnorml,No,70,7,5,1,0,1,0,3,1,7,1,3,0,0,2,2006,60.0,9550.0,1915.0,1970,0.0,216.0,0.0,540.0,756.0,961.0,756.0,0.0,1717.0,1998.0,642.0,0.0,35.0,,0.0,0.0,140000,36
5,RL,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,,,,WD,Normal,Si,60,8,5,1,0,2,1,4,1,9,1,3,0,0,12,2008,84.0,14260.0,2000.0,2000,350.0,655.0,0.0,490.0,1145.0,1145.0,1053.0,0.0,2198.0,2000.0,836.0,192.0,84.0,0.0,0.0,0.0,250000,8
6,RL,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,,TA,TA,Wood,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,,Attchd,Unf,TA,TA,Y,,MnPrv,Shed,WD,Normal,Si,50,5,5,1,0,1,1,1,1,5,0,2,320,0,10,2009,85.0,14115.0,1993.0,1995,0.0,732.0,0.0,64.0,796.0,796.0,566.0,0.0,1362.0,1993.0,480.0,40.0,30.0,0.0,0.0,,143000,14
7,RL,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,,,,WD,Normal,No,20,8,5,1,0,2,0,3,1,7,1,2,0,0,8,2007,75.0,10084.0,2004.0,2005,186.0,1369.0,0.0,317.0,1686.0,1694.0,0.0,0.0,1694.0,2004.0,636.0,255.0,57.0,0.0,0.0,0.0,307000,2
8,RL,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,TA,TA,Y,,,Shed,WD,Normal,Si,60,7,6,1,0,2,1,3,1,7,2,2,0,0,11,2009,,10382.0,1973.0,1973,240.0,859.0,,216.0,1107.0,1107.0,983.0,0.0,2090.0,1973.0,484.0,235.0,,,0.0,,200000,36
9,RM,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,BrkFace,Wd Shng,,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,FuseF,TA,Min1,TA,Detchd,Unf,Fa,TA,Y,,,,WD,Abnorml,Si,50,7,5,0,0,2,0,2,2,8,2,2,0,0,4,2008,51.0,6120.0,1931.0,1950,0.0,0.0,0.0,952.0,952.0,1022.0,752.0,0.0,1774.0,1931.0,468.0,90.0,0.0,,0.0,0.0,129900,58
10,RL,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,Gable,CompShg,MetalSd,MetalSd,,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,TA,Attchd,RFn,Gd,TA,Y,,,,WD,Normal,Si,190,5,6,1,0,1,0,2,2,5,2,1,0,0,1,2008,50.0,7420.0,1939.0,1950,0.0,851.0,0.0,140.0,991.0,1077.0,0.0,0.0,1077.0,1939.0,205.0,0.0,4.0,0.0,0.0,0.0,118000,58
